
----------------------------------------------- [START 2026-03-18 15:27:35] ---------------------------------------------------

----------------------------------------------- [START 2026-03-18 15:53:54] ---------------------------------------------------

Train Inter:0 | loss:  1.3498861 |PURE_my_in : 0.99968505 |CM : -0.010897658 |DM : 0.29543984 |TA : 0.07065165 |AlignPos : 5.47612 | 0 hr 00 min
Train Inter:100 | loss:  0.3601152 |PURE_my_in : 0.28177565 |CM : -0.0120780375 |DM : 0.025772877 |TA : 0.10613382 |AlignPos : 5.2566686 | 0 hr 00 min
Train Inter:200 | loss:  0.26976833 |PURE_my_in : 0.19293559 |CM : -0.010719439 |DM : 0.020177487 |TA : 0.11668581 |AlignPos : 5.665526 | 0 hr 00 min
Train Inter:300 | loss:  0.20051804 |PURE_my_in : 0.13261539 |CM : -0.011626406 |DM : 0.013456679 |TA : 0.11171174 |AlignPos : 5.444599 | 0 hr 00 min
Train Inter:400 | loss:  0.18726204 |PURE_my_in : 0.107551694 |CM : -0.010431302 |DM : 0.02153579 |TA : 0.12458652 |AlignPos : 5.8174567 | 0 hr 01 min
Train Inter:500 | loss:  0.16540597 |PURE_my_in : 0.09804034 |CM : -0.010590978 |DM : 0.013718223 |TA : 0.12741351 |AlignPos : 5.3647404 | 0 hr 01 min
Train Inter:600 | loss:  0.15616724 |PURE_my_in : 0.08955538 |CM : -0.011301449 |DM : 0.011793379 |TA : 0.12384707 |AlignPos : 5.4818487 | 0 hr 01 min
Train Inter:700 | loss:  0.14231217 |PURE_my_in : 0.07511765 |CM : -0.010767688 |DM : 0.008614614 |TA : 0.12740314 |AlignPos : 5.8579907 | 0 hr 02 min
Train Inter:800 | loss:  0.13427472 |PURE_my_in : 0.07308471 |CM : -0.010608739 |DM : 0.0064990744 |TA : 0.12849534 |AlignPos : 5.469093 | 0 hr 02 min
Train Inter:900 | loss:  0.1283859 |PURE_my_in : 0.06660539 |CM : -0.011077174 |DM : 0.0073334808 |TA : 0.12301147 |AlignPos : 5.444704 | 0 hr 02 min
Train Inter:1000 | loss:  0.12693495 |PURE_my_in : 0.06848246 |CM : -0.010614415 |DM : 0.0030052075 |TA : 0.13034165 |AlignPos : 5.5447283 | 0 hr 03 min
