dataset,weight_cl,fold,train_subjects,test_subjects,ME,Std,MAE,RMSE,MER,r
BUAA_my_in_100lux,0.0,0,9,3,8.807373046875,2.6403719707450506,8.807373046875,9.19463887984277,0.10998832368690281,-0.5224966596098418
BUAA_my_in_100lux,0.0,1,9,3,3.47900390625,5.571087324550391,5.401611328125,6.568141453826097,0.06971686528740614,0.1894160172796379
BUAA_my_in_100lux,0.0,2,10,2,-8.953857421875,5.4107666015625,8.953857421875,10.461737807259855,0.0944432289781337,1.0
BUAA_my_in_100lux,0.0,3,10,2,-0.34332275390625,1.08489990234375,1.08489990234375,1.1379271995410118,0.01269878591510424,-0.9999999999999999
BUAA_my_in_100lux,0.0,4,10,2,-7.36083984375,7.6904296875,7.6904296875,10.64540614461087,0.07920292521859232,-1.0
BUAA_my_in_100lux,0.0,mean,,,-0.8743,4.4795,6.3876,7.6016,0.0732,-0.2666
BUAA_my_in_100lux,0.0,fold_std,,,6.6381,2.3356,2.9404,3.5449,0.0332,0.7686
