dataset,weight_cl,fold,train_subjects,test_subjects,ME,Std,MAE,RMSE,MER,r
,0.0,0,32,8,1.9225972116028363,6.49366047457919,4.310234318390917,6.772296980875472,0.05256032504371424,0.9802146749354413
,0.0,1,32,8,3.806395687331678,12.000206072061557,5.548363901500883,12.58942389072988,0.07769064895177445,0.8262100561183594
,0.0,2,32,8,0.641103008326267,0.6034695600320635,0.7272702877380315,0.8804479412039543,0.006766071888102576,0.9989634238146811
,0.0,3,32,8,5.06488510839667,11.78798192122897,5.766127671791644,12.830026458915796,0.07464222300629177,0.37675430481790884
,0.0,4,32,8,1.4817816666290113,3.2864431199887107,1.6634222916290113,3.605049970316498,0.017647334959303672,0.9510626637852518
UBFC_my_in,0.0,mean,,,2.5834,6.8344,3.6031,7.3354,0.0459,0.8266
UBFC_my_in,0.0,fold_std,,,1.6172,4.5333,2.0492,4.7685,0.029,0.2329
