
----------------------------------------------- [START 2026-03-15 22:18:49] ---------------------------------------------------

Train Inter:1000 | loss:  0.110728465 |UBFC_my_in : 0.10208386 |CM : -0.0108221285 |DM : 0.0086446 |TA : 0.13200343 |AlignPos : 5.3612213 | 0 hr 03 min

----------------------------------------------- [START 2026-03-24 23:15:21] ---------------------------------------------------

Train Inter:0 | loss:  1.376472 |UBFC_my_in : 1.0004311 |CM : -0.011047459 |DM : 0.3760409 |TA : 0.058404267 |AlignPos : 5.1770725 | 0 hr 00 min
Train Inter:100 | loss:  0.41346708 |UBFC_my_in : 0.36312664 |CM : -0.012605161 |DM : 0.05034045 |TA : 0.10161173 |AlignPos : 5.1325145 | 0 hr 00 min
Train Inter:200 | loss:  0.29517207 |UBFC_my_in : 0.24361676 |CM : -0.011977437 |DM : 0.05155531 |TA : 0.108317494 |AlignPos : 5.9155426 | 0 hr 01 min
Train Inter:300 | loss:  0.24030262 |UBFC_my_in : 0.19708431 |CM : -0.012275416 |DM : 0.043218307 |TA : 0.1222201 |AlignPos : 5.70866 | 0 hr 01 min
Train Inter:400 | loss:  0.22503106 |UBFC_my_in : 0.18404949 |CM : -0.011650382 |DM : 0.04098158 |TA : 0.107100725 |AlignPos : 5.61126 | 0 hr 02 min
Train Inter:500 | loss:  0.1888913 |UBFC_my_in : 0.15023667 |CM : -0.011671173 |DM : 0.038654637 |TA : 0.11875659 |AlignPos : 5.6300063 | 0 hr 02 min
Train Inter:600 | loss:  0.22923575 |UBFC_my_in : 0.13471675 |CM : -0.011804804 |DM : 0.094519004 |TA : 0.116907954 |AlignPos : 5.5714464 | 0 hr 03 min
Train Inter:700 | loss:  0.18667959 |UBFC_my_in : 0.1275053 |CM : -0.011034252 |DM : 0.05917428 |TA : 0.10675049 |AlignPos : 5.653192 | 0 hr 04 min
Train Inter:800 | loss:  0.13463461 |UBFC_my_in : 0.11502594 |CM : -0.011522275 |DM : 0.01960867 |TA : 0.1262433 |AlignPos : 5.719327 | 0 hr 04 min
Train Inter:900 | loss:  0.1608926 |UBFC_my_in : 0.119895935 |CM : -0.012765079 |DM : 0.04099668 |TA : 0.11711794 |AlignPos : 6.365247 | 0 hr 05 min
Train Inter:1000 | loss:  0.14579776 |UBFC_my_in : 0.114561796 |CM : -0.011415183 |DM : 0.03123597 |TA : 0.117010415 |AlignPos : 5.383658 | 0 hr 05 min

----------------------------------------------- [START 2026-03-24 23:23:40] ---------------------------------------------------

Train Inter:0 | loss:  1.4282427 |UBFC_my_in : 1.0004311 |CM : -0.011047459 |DM : 0.3760409 |TA : 0.058404267 |AlignPos : 5.1770725 | 0 hr 00 min
Train Inter:100 | loss:  0.6136289 |UBFC_my_in : 0.48274547 |CM : -0.012378716 |DM : 0.07739301 |TA : 0.102802515 |AlignPos : 5.3490434 | 0 hr 00 min
Train Inter:200 | loss:  0.334675 |UBFC_my_in : 0.23626262 |CM : -0.012393748 |DM : 0.04141172 |TA : 0.11029321 |AlignPos : 5.7000666 | 0 hr 01 min
Train Inter:300 | loss:  0.31745118 |UBFC_my_in : 0.20838869 |CM : -0.012034006 |DM : 0.04852414 |TA : 0.12750554 |AlignPos : 6.0538354 | 0 hr 01 min
Train Inter:400 | loss:  0.28758454 |UBFC_my_in : 0.18245763 |CM : -0.0116554145 |DM : 0.051308583 |TA : 0.11380935 |AlignPos : 5.3818316 | 0 hr 02 min
Train Inter:500 | loss:  0.25972012 |UBFC_my_in : 0.14882982 |CM : -0.011838346 |DM : 0.05445177 |TA : 0.11896318 |AlignPos : 5.6438537 | 0 hr 02 min
Train Inter:600 | loss:  0.28810716 |UBFC_my_in : 0.13313997 |CM : -0.012146748 |DM : 0.096607305 |TA : 0.11777818 |AlignPos : 5.83599 | 0 hr 03 min
Train Inter:700 | loss:  0.2440995 |UBFC_my_in : 0.120259404 |CM : -0.011993232 |DM : 0.06677457 |TA : 0.11181122 |AlignPos : 5.7065516 | 0 hr 04 min
Train Inter:800 | loss:  0.19656686 |UBFC_my_in : 0.112051845 |CM : -0.012260996 |DM : 0.02987797 |TA : 0.1330617 |AlignPos : 5.463705 | 0 hr 04 min
Train Inter:900 | loss:  0.2248954 |UBFC_my_in : 0.11345416 |CM : -0.011827694 |DM : 0.0493999 |TA : 0.12164092 |AlignPos : 6.204134 | 0 hr 05 min
Train Inter:1000 | loss:  0.18313533 |UBFC_my_in : 0.09777206 |CM : -0.010865775 |DM : 0.03347671 |TA : 0.12992084 |AlignPos : 5.1886554 | 0 hr 05 min

----------------------------------------------- [START 2026-03-25 23:01:30] ---------------------------------------------------

Train Inter:0 | loss:  1.3359184 |UBFC_my_in : 0.98983395 |CM : -0.010440728 |DM : 0.3460845 |TA : 0.07241672 |AlignPos : 0.0 | 0 hr 00 min
