
----------------------------------------------- [START 2026-03-16 18:07:49] ---------------------------------------------------

Train Inter:400 | loss:  1.0255381 |BUAA_my_rm : 1.0015702 |CM : -0.012206203 |DM : 0.02396787 |TA : 0.14328593 | 0 hr 00 min
Train Inter:500 | loss:  1.0371644 |BUAA_my_rm : 0.99971676 |CM : -0.012790772 |DM : 0.03744774 |TA : 0.14785159 | 0 hr 01 min
Train Inter:600 | loss:  1.0140322 |BUAA_my_rm : 0.99802965 |CM : -0.013058938 |DM : 0.01600265 |TA : 0.13283342 | 0 hr 01 min
Train Inter:700 | loss:  1.0051687 |BUAA_my_rm : 1.0003304 |CM : -0.012469912 |DM : 0.0048381947 |TA : 0.14712512 | 0 hr 01 min
Train Inter:800 | loss:  1.0003732 |BUAA_my_rm : 0.9989921 |CM : -0.012976532 |DM : 0.001381135 |TA : 0.15469909 | 0 hr 01 min
Train Inter:900 | loss:  1.020403 |BUAA_my_rm : 1.0003147 |CM : -0.013186163 |DM : 0.0200883 |TA : 0.14287144 | 0 hr 02 min
Train Inter:1000 | loss:  1.0040187 |BUAA_my_rm : 0.9912393 |CM : -0.013228042 |DM : 0.0127794035 |TA : 0.15143478 | 0 hr 02 min

----------------------------------------------- [START 2026-03-16 22:48:11] ---------------------------------------------------

Train Inter:0 | loss:  1.4085523 |BUAA_my_rm : 0.9982998 |CM : -0.011046998 |DM : 0.4102525 |TA : 0.06828618 | 0 hr 00 min
Train Inter:100 | loss:  1.0314046 |BUAA_my_rm : 1.0109283 |CM : -0.012363513 |DM : 0.020476291 |TA : 0.12348145 | 0 hr 00 min
Train Inter:200 | loss:  1.0178236 |BUAA_my_rm : 1.0018895 |CM : -0.012081929 |DM : 0.015934104 |TA : 0.12565833 | 0 hr 00 min
Train Inter:300 | loss:  1.0097808 |BUAA_my_rm : 0.9912422 |CM : -0.012928889 |DM : 0.01853864 |TA : 0.12595421 | 0 hr 00 min
Train Inter:400 | loss:  0.8341821 |BUAA_my_rm : 0.8065361 |CM : -0.012302924 |DM : 0.027646009 |TA : 0.127783 | 0 hr 00 min
Train Inter:500 | loss:  0.5639692 |BUAA_my_rm : 0.5218618 |CM : -0.0116100395 |DM : 0.04210741 |TA : 0.12783128 | 0 hr 01 min
Train Inter:600 | loss:  0.27647397 |BUAA_my_rm : 0.26141 |CM : -0.01068938 |DM : 0.015063984 |TA : 0.13614106 | 0 hr 01 min
Train Inter:700 | loss:  0.15165025 |BUAA_my_rm : 0.13135356 |CM : -0.011340678 |DM : 0.020296697 |TA : 0.13337296 | 0 hr 01 min
Train Inter:800 | loss:  0.10206269 |BUAA_my_rm : 0.091943085 |CM : -0.010713488 |DM : 0.010119602 |TA : 0.13759524 | 0 hr 01 min
Train Inter:900 | loss:  0.079279296 |BUAA_my_rm : 0.059137583 |CM : -0.010876715 |DM : 0.020141715 |TA : 0.13222289 | 0 hr 02 min
Train Inter:1000 | loss:  0.076967105 |BUAA_my_rm : 0.062250078 |CM : -0.010335095 |DM : 0.014717026 |TA : 0.14306962 | 0 hr 02 min

----------------------------------------------- [START 2026-03-16 22:53:53] ---------------------------------------------------

Train Inter:0 | loss:  1.5437455 |BUAA_my_rm : 0.9978679 |CM : -0.010097982 |DM : 0.5458777 |TA : 0.06432712 | 0 hr 00 min
Train Inter:100 | loss:  1.0164394 |BUAA_my_rm : 1.0001953 |CM : -0.011929452 |DM : 0.016244208 |TA : 0.12640709 | 0 hr 00 min
Train Inter:200 | loss:  1.0185596 |BUAA_my_rm : 1.0003911 |CM : -0.01237333 |DM : 0.018168507 |TA : 0.14206058 | 0 hr 00 min
Train Inter:300 | loss:  1.0197424 |BUAA_my_rm : 0.9984418 |CM : -0.011659763 |DM : 0.021300519 |TA : 0.12653667 | 0 hr 00 min
Train Inter:400 | loss:  1.0127562 |BUAA_my_rm : 1.0004512 |CM : -0.012168059 |DM : 0.012305045 |TA : 0.12835985 | 0 hr 00 min
Train Inter:500 | loss:  1.0249403 |BUAA_my_rm : 1.00061 |CM : -0.012998992 |DM : 0.024330312 |TA : 0.14294499 | 0 hr 01 min
Train Inter:600 | loss:  1.0150452 |BUAA_my_rm : 1.0006721 |CM : -0.013029849 |DM : 0.014373078 |TA : 0.14247257 | 0 hr 01 min
Train Inter:700 | loss:  1.0203953 |BUAA_my_rm : 1.0001471 |CM : -0.012828013 |DM : 0.02024822 |TA : 0.13788027 | 0 hr 01 min
Train Inter:800 | loss:  1.013561 |BUAA_my_rm : 0.9997752 |CM : -0.0129396925 |DM : 0.01378581 |TA : 0.15099102 | 0 hr 01 min
Train Inter:900 | loss:  1.016469 |BUAA_my_rm : 1.0025414 |CM : -0.013241351 |DM : 0.013927554 |TA : 0.14819002 | 0 hr 02 min
Train Inter:1000 | loss:  1.0249522 |BUAA_my_rm : 1.0012956 |CM : -0.013427693 |DM : 0.023656597 |TA : 0.15009141 | 0 hr 02 min

----------------------------------------------- [START 2026-03-16 23:02:18] ---------------------------------------------------

Train Inter:0 | loss:  1.4996177 |BUAA_my_rm : 0.9939056 |CM : -0.011025163 |DM : 0.5057121 |TA : 0.06677997 | 0 hr 00 min

----------------------------------------------- [START 2026-03-16 23:02:56] ---------------------------------------------------

Train Inter:0 | loss:  1.4996177 |BUAA_my_rm : 0.9939056 |CM : -0.011025163 |DM : 0.5057121 |TA : 0.06677997 | 0 hr 00 min
Train Inter:100 | loss:  1.0304915 |BUAA_my_rm : 1.0002432 |CM : -0.0123112155 |DM : 0.03024823 |TA : 0.12366307 | 0 hr 00 min
Train Inter:200 | loss:  1.0088319 |BUAA_my_rm : 1.0003341 |CM : -0.012257116 |DM : 0.008497697 |TA : 0.13744938 | 0 hr 00 min
