dataset,weight_cl,fold,train_subjects,test_subjects,ME,Std,MAE,RMSE,MER,r
PURE_my_in,0.0,0,47,12,-0.2300476782628055,1.2747497511515722,0.773603267231767,1.295341214636168,0.01054126107165468,0.9447012872442575
PURE_my_in,0.0,1,47,12,-5.579335782930102,10.118525130340451,8.534438420358894,11.554805865613472,0.1047983338455042,0.3893170262520953
PURE_my_in,0.0,2,48,11,15.142982130297543,11.506821076111681,15.600594475338864,19.018854830829294,0.19777502080615642,0.7089194149293546
PURE_my_in,0.0,3,47,12,-3.0950831424392633,14.664344087878893,10.854594956925743,14.987412291196916,0.10480316820159567,0.8433893327889936
PURE_my_in,0.0,4,47,12,-0.07820680523813313,0.20781721822252835,0.1718118069676026,0.22204571730908315,0.0019883857644141982,0.9997753405076902
PURE_my_in,0.0,mean,,,1.2321,7.5545,7.187,9.4157,0.084,0.7772
PURE_my_in,0.0,fold_std,,,7.2455,5.7646,5.9397,7.4606,0.072,0.2178
